"ExhTitle","StartDate","EndDate","DisplayName","Nationality","ExhibitionLength","StartYear","count","LifetimeExhibitionLength","Rank","movement","Movement"
"Painting, Sculpture, Prints","1944-05-24","1944-10-15","Alberto Giacometti","Swiss",144,1944,2,5339,37," Surrealism "," Surrealism "
"20th Century Sculpture and Constructions","1942-10-02","1942-10-26","Alberto Giacometti","Swiss",24,1942,1,5339,37," Surrealism "," Surrealism "
"Seurat to Matisse: Drawing in France","1974-06-13","1974-09-08","Alberto Giacometti","Swiss",87,1974,1,5339,37," Surrealism "," Surrealism "
"Painting and Sculpture from the Museum Collection","1941-04-30","1941-05-06","Alberto Giacometti","Swiss",6,1941,1,5339,37," Surrealism "," Surrealism "
"A Treasury of Modern Drawing: The Joan and Lester Avnet Collection","1978-04-28","1978-07-04","Alberto Giacometti","Swiss",67,1978,1,5339,37," Surrealism "," Surrealism "
"The Museum Collection of Painting and Sculpture","1945-06-20","1946-02-13","Alberto Giacometti","Swiss",238,1945,1,5339,37," Surrealism "," Surrealism "
"Extraordinary Men","1977-06-02","1977-07-17","Alberto Giacometti","Swiss",45,1977,2,5339,37," Surrealism "," Surrealism "
"25 Recent Acquisitions","1973-01-22","1973-03-18","Alberto Giacometti","Swiss",55,1973,3,5339,37," Surrealism "," Surrealism "
"Prints by Sculptors","1975-05-21","1975-09-01","Alberto Giacometti","Swiss",103,1975,2,5339,37," Surrealism "," Surrealism "
"Paintings and Sculpture from the Museum Collection","1940-01-12","1940-03-03","Alberto Giacometti","Swiss",51,1940,2,5339,37," Surrealism "," Surrealism "
"Permanent Collection","1972-03-29",NA,"Alberto Giacometti","Swiss",NA,1972,3,5339,37," Surrealism "," Surrealism "
"Art Lending Service Retrospective","1960-01-27","1960-03-20","Alberto Giacometti","Swiss",53,1960,4,5339,37," Surrealism "," Surrealism "
"Painting and Sculpture from the Museum Collection: New Acquisitions","1955-03-05","1955-04-24","Alberto Giacometti","Swiss",50,1955,1,5339,37," Surrealism "," Surrealism "
"Between World Wars: Drawing in Europe and America","1976-08-20","1976-11-14","Alberto Giacometti","Swiss",86,1976,3,5339,37," Surrealism "," Surrealism "
"New Images of Man","1959-09-30","1959-11-29","Alberto Giacometti","Swiss",60,1959,2,5339,37," Surrealism "," Surrealism "
"Master Prints from the Museum Collection","1949-05-10","1949-07-10","Alberto Giacometti","Swiss",61,1949,1,5339,37," Surrealism "," Surrealism "
"Painting and Sculpture from the James Thrall Soby Collection","1961-02-01","1961-03-04","Alberto Giacometti","Swiss",31,1961,1,5339,37," Surrealism "," Surrealism "
"50 Selections from the Collection of Mr. and Mrs. Walter Bareiss","1958-04-23","1958-05-18","Alberto Giacometti","Swiss",25,1958,2,5339,37," Surrealism "," Surrealism "
"Print Gift of Victor S. Riesenfeld and Matisse: Jazz: Gift of the Artist","1948-10-01","1948-10-31","Alberto Giacometti","Swiss",30,1948,2,5339,37," Surrealism "," Surrealism "
"Painting, Sculpture, Prints","1939-05-10","1939-09-30","Alberto Giacometti","Swiss",143,1939,1,5339,37," Surrealism "," Surrealism "
"Master Prints from the Collection","1989-04-06","1989-08-08","Alberto Giacometti","Swiss",124,1989,2,5339,37," Surrealism "," Surrealism "
"The Museum Collection of Sculpture","1946-02-19","1946-05-05","Alberto Giacometti","Swiss",75,1946,2,5339,37," Surrealism "," Surrealism "
"Cubism and Abstract Art","1936-03-02","1936-04-19","Alberto Giacometti","Swiss",48,1936,2,5339,37," Surrealism "," Surrealism "
"Painting and Sculpture from the Museum Collection","1964-05-27",NA,"Alberto Giacometti","Swiss",NA,1964,2,5339,37," Surrealism "," Surrealism "
"Alberto Giacometti","1965-06-09","1965-10-12","Alberto Giacometti","Swiss",125,1965,1,5339,37," Surrealism "," Surrealism "
"XXVth Anniversary Exhibition: Paintings from the Museum Collection","1954-10-19","1955-02-06","Alberto Giacometti","Swiss",110,1954,1,5339,37," Surrealism "," Surrealism "
"Reinstallation of the Collection","1980-10-23",NA,"Alberto Giacometti","Swiss",NA,1980,1,5339,37," Surrealism "," Surrealism "
"New Acquisitions: Gifts of the Advisory Committee","1937-02-10","1937-03-07","Alberto Giacometti","Swiss",25,1937,1,5339,37," Surrealism "," Surrealism "
"Twentieth-Century Art from the Nelson Aldrich Rockefeller Collection","1969-05-28","1969-09-01","Alberto Giacometti","Swiss",96,1969,2,5339,37," Surrealism "," Surrealism "
"Summer Show","1971-07-06","1971-09-15","Alberto Giacometti","Swiss",71,1971,2,5339,37," Surrealism "," Surrealism "
"Iliazd and the Illustrated Book","1987-06-16","1987-08-18","Alberto Giacometti","Swiss",63,1987,2,5339,37," Surrealism "," Surrealism "
"Masterpieces from the Collection","1982-03-08","1983-03-01","Alberto Giacometti","Swiss",358,1982,1,5339,37," Surrealism "," Surrealism "
"Selections from the Permanent Collection: Painting and Sculpture","1984-05-17",NA,"Alberto Giacometti","Swiss",NA,1984,2,5339,37," Surrealism "," Surrealism "
"The James Thrall Soby Bequest","1979-03-22","1979-05-09","Alberto Giacometti","Swiss",48,1979,2,5339,37," Surrealism "," Surrealism "
"Posters by Painters and Sculptors","1952-03-04","1952-05-11","Alberto Giacometti","Swiss",68,1952,2,5339,37," Surrealism "," Surrealism "
"New Acquisitions","1953-02-11","1953-03-15","Alberto Giacometti","Swiss",32,1953,2,5339,37," Surrealism "," Surrealism "
"Recent Acquisitions","1950-01-31","1950-05-07","Alberto Giacometti","Swiss",96,1950,1,5339,37," Surrealism "," Surrealism "
"Sculptors' Drawings","1986-04-26","1986-09-02","Alberto Giacometti","Swiss",129,1986,1,5339,37," Surrealism "," Surrealism "
"Drawings: Recent Acquisitions","1967-06-26","1967-11-22","Alberto Giacometti","Swiss",149,1967,1,5339,37," Surrealism "," Surrealism "
"The Sidney and Harriet Janis Collection","1968-01-17","1968-03-04","Alberto Giacometti","Swiss",47,1968,3,5339,37," Surrealism "," Surrealism "
"Modern Relief","1951-06-20","1951-07-15","Alberto Giacometti","Swiss",25,1951,2,5339,37," Surrealism "," Surrealism "
"20 Drawings: New Acquisitions","1966-08-02","1966-10-02","Alberto Giacometti","Swiss",61,1966,2,5339,37," Surrealism "," Surrealism "
"Three Centuries of American Art","1938-05-24","1938-07-31","Alexander Calder","American",68,1938,1,5954,25," Academic Art "," Academic Art "
"Modern Works of Art: 5th Anniversary Exhibition","1934-11-19","1935-01-20","Alexander Calder","American",62,1934,1,5954,25," Academic Art "," Academic Art "
"Cubism and Abstract Art","1936-03-02","1936-04-19","Alexander Calder","American",48,1936,3,5954,25," Academic Art "," Academic Art "
"Calder: 19 Gifts from the Artist","1967-02-01","1967-09-04","Alexander Calder","American",215,1967,3,5954,25," Academic Art "," Academic Art "
"Children's Holiday Carnival","1956-12-10","1957-01-13","Alexander Calder","American",34,1956,1,5954,25," Academic Art "," Academic Art "
"Drawings from the Museum Collection","1966-10-31","1967-05-08","Alexander Calder","American",189,1966,2,5954,25," Academic Art "," Academic Art "
"A Selection of Drawings and Watercolors from the Museum Collection","1971-05-11","1971-10-19","Alexander Calder","American",161,1971,2,5954,25," Academic Art "," Academic Art "
"Painting, Sculpture, Prints","1939-05-10","1939-09-30","Alexander Calder","American",143,1939,1,5954,25," Academic Art "," Academic Art "
"Painting and Sculpture by Living Americans","1930-12-03","1931-01-20","Alexander Calder","American",48,1930,1,5954,25," Academic Art "," Academic Art "
"Mrs. Simon Guggenheim, 1877–1970: In Memoriam","1970-02-25","1970-03-17","Alexander Calder","American",20,1970,1,5954,25," Academic Art "," Academic Art "
"Sculptors' Drawings","1986-04-26","1986-09-02","Alexander Calder","American",129,1986,2,5954,25," Academic Art "," Academic Art "
"Five Sculptures from the Museum Collection","1968-01-08","1968-03-03","Alexander Calder","American",55,1968,3,5954,25," Academic Art "," Academic Art "
"Twentieth-Century Art from the Nelson Aldrich Rockefeller Collection","1969-05-28","1969-09-01","Alexander Calder","American",96,1969,2,5954,25," Academic Art "," Academic Art "
"Recent Acquisitions: Painting and Sculpture","1965-02-16","1965-04-25","Alexander Calder","American",68,1965,3,5954,25," Academic Art "," Academic Art "
"Selections from the Art Lending Service","1955-10-05","1955-10-24","Alexander Calder","American",19,1955,1,5954,25," Academic Art "," Academic Art "
"Surrealist Prints from the Collection of The Museum of Modern Art","1987-08-06","1987-12-08","Alexander Calder","American",124,1987,2,5954,25," Academic Art "," Academic Art "
"Abstractions","1988-11-17","1989-03-26","Alexander Calder","American",129,1988,1,5954,25," Academic Art "," Academic Art "
"International Sculpture Competition: The Unknown Political Prisoner","1953-01-27","1953-02-08","Alexander Calder","American",12,1953,2,5954,25," Academic Art "," Academic Art "
"Contemporary Works from the Collection","1985-11-21","1986-04-01","Alexander Calder","American",131,1985,2,5954,25," Academic Art "," Academic Art "
"Painting and Sculpture from the Museum Collection","1940-10-23","1941-01-12","Alexander Calder","American",81,1940,2,5954,25," Academic Art "," Academic Art "
"New Acquisitions: American Painting and Sculpture","1941-03-10","1941-05-03","Alexander Calder","American",54,1941,3,5954,25," Academic Art "," Academic Art "
"Children's Festival of Modern Art","1942-03-11","1942-05-10","Alexander Calder","American",60,1942,2,5954,25," Academic Art "," Academic Art "
"Abstract Painting and Sculpture in America","1951-01-23","1951-03-25","Alexander Calder","American",61,1951,1,5954,25," Academic Art "," Academic Art "
"Timeless Aspects of Modern Art","1948-11-16","1949-01-23","Alexander Calder","American",68,1948,1,5954,25," Academic Art "," Academic Art "
"Painting and Sculpture in Architecture","1949-08-03","1949-10-02","Alexander Calder","American",60,1949,2,5954,25," Academic Art "," Academic Art "
"Posters by Painters and Sculptors","1952-03-04","1952-05-11","Alexander Calder","American",68,1952,2,5954,25," Academic Art "," Academic Art "
"Recent Sculpture U.S.A.","1959-05-13","1959-08-16","Alexander Calder","American",95,1959,1,5954,25," Academic Art "," Academic Art "
"Painting and Sculpture from the Museum Collection","1964-05-27",NA,"Alexander Calder","American",NA,1964,1,5954,25," Academic Art "," Academic Art "
"Selections from the Permanent Collection: Painting and Sculpture","1984-05-17",NA,"Alexander Calder","American",NA,1984,1,5954,25," Academic Art "," Academic Art "
"Children's Holiday Carnival","1957-12-09","1958-01-12","Alexander Calder","American",34,1957,1,5954,25," Academic Art "," Academic Art "
"Painting and Sculpture from the James Thrall Soby Collection","1961-02-01","1961-03-04","Alexander Calder","American",31,1961,1,5954,25," Academic Art "," Academic Art "
"Recent Acquisitions, 1968–1973","1973-06-15","1973-09-25","Alexander Calder","American",102,1973,1,5954,25," Academic Art "," Academic Art "
"Seurat to Matisse: Drawing in France","1974-06-13","1974-09-08","Alexander Calder","American",87,1974,2,5954,25," Academic Art "," Academic Art "
"Prints by Sculptors","1975-05-21","1975-09-01","Alexander Calder","American",103,1975,2,5954,25," Academic Art "," Academic Art "
"Between World Wars: Drawing in Europe and America","1976-08-20","1976-11-14","Alexander Calder","American",86,1976,3,5954,25," Academic Art "," Academic Art "
"Posters by Painters","1977-01-21","1977-03-23","Alexander Calder","American",61,1977,2,5954,25," Academic Art "," Academic Art "
"Thirty Sculptors' Drawings","1979-05-18","1979-06-06","Alexander Calder","American",19,1979,3,5954,25," Academic Art "," Academic Art "
"The Museum Collection of Sculpture","1946-02-19","1946-05-05","Alexander Calder","American",75,1946,4,5954,25," Academic Art "," Academic Art "
