"DisplayName","LifetimeExhibitionLength","YearBirth","YearDeath","Rank"
"Pablo Picasso",16869,1881,1973,1
"Henri Matisse",13186,1869,1954,2
"Paul Klee",9663,1879,1940,3
"Joan Miró",9332,1893,1983,4
"Jasper Johns",9218,1930,NA,5
"Fernand Léger",7721,1881,1955,6
"Robert Rauschenberg",7692,1925,2008,7
"Georges Braque",7367,1882,1963,8
"Marc Chagall",7278,1887,1985,9
"Max Ernst",6764,1891,1976,10
"Georges Rouault",6702,1871,1958,11
"André Derain",6600,1880,1954,12
"Claes Oldenburg",6452,1929,NA,13
"Paul Cézanne",6412,1839,1906,14
"Vincent van Gogh",6395,1853,1890,15
"Charles Sheeler",6351,1883,1965,16
"Ernst Ludwig Kirchner",6244,1880,1938,17
"Jim Dine",6224,1935,NA,18
"Odilon Redon",6187,1840,1916,19
"Jean (Hans) Arp",6183,1886,1966,20
"Ben Shahn",6045,1898,1969,21
"Juan Gris",6003,1887,1927,22
"Vasily Kandinsky",5994,1866,1944,23
"Max Beckmann",5971,1884,1950,24
"Alexander Calder",5954,1898,1976,25
"George Grosz",5891,1893,1959,26
"Piet Mondrian",5753,1872,1944,27
"Amedeo Modigliani",5731,1884,1920,28
"Man Ray",5707,1890,1976,29
"Robert Motherwell",5687,1915,1991,30
"Giorgio de Chirico",5674,1888,1978,31
"Oskar Kokoschka",5669,1886,1980,32
"Otto Dix",5664,1891,1969,33
"Paul Gauguin",5442,1848,1903,34
"Jean Dubuffet",5392,1901,1985,35
"André Masson",5345,1896,1987,36
"Alberto Giacometti",5339,1901,1966,37
"Pierre Bonnard",5309,1867,1947,38
"Henry Moore",5277,1898,1986,39
"László Moholy-Nagy",5236,1895,1946,40
"Lyonel Feininger",5159,1871,1956,41
"Jacques Lipchitz",4913,1891,1973,42
"Roy Lichtenstein",4887,1923,1997,43
"Frank Stella",4858,1936,NA,44
"Salvador Dalí",4731,1904,1989,45
"Edward Hopper",4669,1882,1967,46
"John Marin",4639,1870,1953,47
"Constantin Brancusi",4629,1876,1957,48
"Jackson Pollock",4613,1912,1956,49
"Pavel Tchelitchew",4550,1898,1957,50
