"ExhTitle","StartDate","EndDate","DisplayName","Gender","Nationality","YearBirth","YearDeath","Movement","ExhibitionLength","ConstituentID","StartYear","count","LifetimeExhibitionLength"
"Cubism and Abstract Art",1936-03-02,1936-04-19,"Alberto Giacometti","Male","Swiss",1901,1966,NA,48,2141,1936,2,5339
"New Acquisitions: Gifts of the Advisory Committee",1937-02-10,1937-03-07,"Alberto Giacometti","Male","Swiss",1901,1966,NA,25,2141,1937,1,5339
"Painting, Sculpture, Prints",1939-05-10,1939-09-30,"Alberto Giacometti","Male","Swiss",1901,1966,NA,143,2141,1939,1,5339
"Paintings and Sculpture from the Museum Collection",1940-01-12,1940-03-03,"Alberto Giacometti","Male","Swiss",1901,1966,NA,51,2141,1940,2,5339
"Painting and Sculpture from the Museum Collection",1941-04-30,1941-05-06,"Alberto Giacometti","Male","Swiss",1901,1966,"NA",6,2141,1941,1,5339
"20th Century Sculpture and Constructions",1942-10-02,1942-10-26,"Alberto Giacometti","Male","Swiss",1901,1966,NA,24,2141,1942,1,5339
"Painting, Sculpture, Prints",1944-05-24,1944-10-15,"Alberto Giacometti","Male","Swiss",1901,1966,NA,144,2141,1944,2,5339
"The Museum Collection of Painting and Sculpture",1945-06-20,1946-02-13,"Alberto Giacometti","Male","Swiss",1901,1966,NA,238,2141,1945,1,5339
"The Museum Collection of Sculpture",1946-02-19,1946-05-05,"Alberto Giacometti","Male","Swiss",1901,1966,NA,75,2141,1946,2,5339
"Print Gift of Victor S. Riesenfeld and Matisse: Jazz: Gift of the Artist",1948-10-01,1948-10-31,"Alberto Giacometti","Male","Swiss",1901,1966,NA,30,2141,1948,2,5339
"Master Prints from the Museum Collection",1949-05-10,1949-07-10,"Alberto Giacometti","Male","Swiss",1901,1966,NA,61,2141,1949,1,5339
"Recent Acquisitions",1950-01-31,1950-05-07,"Alberto Giacometti","Male","Swiss",1901,1966,NA,96,2141,1950,1,5339
"Modern Relief",1951-06-20,1951-07-15,"Alberto Giacometti","Male","Swiss",1901,1966,NA,25,2141,1951,2,5339
"Posters by Painters and Sculptors",1952-03-04,1952-05-11,"Alberto Giacometti","Male","Swiss",1901,1966,NA,68,2141,1952,2,5339
"New Acquisitions",1953-02-11,1953-03-15,"Alberto Giacometti","Male","Swiss",1901,1966,NA,32,2141,1953,2,5339
"XXVth Anniversary Exhibition: Paintings from the Museum Collection",1954-10-19,1955-02-06,"Alberto Giacometti","Male","Swiss",1901,1966,NA,110,2141,1954,1,5339
"Painting and Sculpture from the Museum Collection: New Acquisitions",1955-03-05,1955-04-24,"Alberto Giacometti","Male","Swiss",1901,1966,NA,50,2141,1955,1,5339
"50 Selections from the Collection of Mr. and Mrs. Walter Bareiss",1958-04-23,1958-05-18,"Alberto Giacometti","Male","Swiss",1901,1966,NA,25,2141,1958,2,5339
"New Images of Man",1959-09-30,1959-11-29,"Alberto Giacometti","Male","Swiss",1901,1966,NA,60,2141,1959,2,5339
"Art Lending Service Retrospective",1960-01-27,1960-03-20,"Alberto Giacometti","Male","Swiss",1901,1966,NA,53,2141,1960,4,5339
"Painting and Sculpture from the James Thrall Soby Collection",1961-02-01,1961-03-04,"Alberto Giacometti","Male","Swiss",1901,1966,NA,31,2141,1961,1,5339
"Painting and Sculpture from the Museum Collection",1964-05-27,NA,"Alberto Giacometti","Male","Swiss",1901,1966,NA,NA,2141,1964,2,5339
"Alberto Giacometti",1965-06-09,1965-10-12,"Alberto Giacometti","Male","Swiss",1901,1966,NA,125,2141,1965,1,5339
"20 Drawings: New Acquisitions",1966-08-02,1966-10-02,"Alberto Giacometti","Male","Swiss",1901,1966,NA,61,2141,1966,2,5339
"Drawings: Recent Acquisitions",1967-06-26,1967-11-22,"Alberto Giacometti","Male","Swiss",1901,1966,NA,149,2141,1967,1,5339
"The Sidney and Harriet Janis Collection",1968-01-17,1968-03-04,"Alberto Giacometti","Male","Swiss",1901,1966,NA,47,2141,1968,3,5339
"Twentieth-Century Art from the Nelson Aldrich Rockefeller Collection",1969-05-28,1969-09-01,"Alberto Giacometti","Male","Swiss",1901,1966,NA,96,2141,1969,2,5339
"Summer Show",1971-07-06,1971-09-15,"Alberto Giacometti","Male","Swiss",1901,1966,NA,71,2141,1971,2,5339
"Permanent Collection",1972-03-29,NA,"Alberto Giacometti","Male","Swiss",1901,1966,NA,NA,2141,1972,3,5339
"25 Recent Acquisitions",1973-01-22,1973-03-18,"Alberto Giacometti","Male","Swiss",1901,1966,NA,55,2141,1973,3,5339
