"Nationality","StartYear","count"
"American",1929,18
"American",1930,72
"American",1931,5
"American",1932,110
"American",1933,69
"American",1934,105
"American",1935,23
"American",1936,187
"American",1937,133
"American",1938,204
"American",1939,127
"American",1940,226
"American",1941,241
"American",1942,270
"American",1943,171
"American",1944,276
"American",1945,189
"American",1946,191
"American",1947,150
"American",1948,314
"American",1949,256
"American",1950,235
"American",1951,306
"American",1952,226
"American",1953,228
"American",1954,221
"American",1955,194
"American",1956,113
"American",1957,120
"American",1958,224
"American",1959,281
"American",1960,334
"American",1961,156
"American",1962,159
"American",1963,91
"American",1964,317
"American",1965,214
"American",1966,176
"American",1967,256
"American",1968,272
"American",1969,282
"American",1970,207
"American",1971,362
"American",1972,199
"American",1973,159
"American",1974,220
"American",1975,168
"American",1976,331
"American",1977,257
"American",1978,340
"American",1979,382
"American",1980,192
"American",1981,253
"American",1982,91
"American",1983,195
"American",1984,259
"American",1985,375
"American",1986,186
"American",1987,280
"American",1988,232
"American",1989,201
"Austrian",1931,1
"Austrian",1934,5
"Austrian",1936,4
"Austrian",1937,5
"Austrian",1939,1
"Austrian",1940,3
"Austrian",1941,3
"Austrian",1942,1
"Austrian",1944,3
"Austrian",1945,1
"Austrian",1946,4
"Austrian",1947,3
"Austrian",1948,2
"Austrian",1949,3
"Austrian",1950,6
"Austrian",1951,2
"Austrian",1952,1
"Austrian",1953,6
"Austrian",1954,3
"Austrian",1955,6
"Austrian",1956,2
"Austrian",1957,7
"Austrian",1958,6
"Austrian",1959,1
"Austrian",1960,11
"Austrian",1961,2
"Austrian",1962,2
"Austrian",1963,1
"Austrian",1964,4
"Austrian",1965,3
"Austrian",1966,6
"Austrian",1967,5
"Austrian",1968,7
"Austrian",1969,1
"Austrian",1970,9
"Austrian",1971,8
"Austrian",1972,6
"Austrian",1973,5
"Austrian",1974,5
"Austrian",1975,6
"Austrian",1976,5
"Austrian",1977,1
"Austrian",1978,5
"Austrian",1979,9
"Austrian",1980,6
"Austrian",1981,2
"Austrian",1983,7
"Austrian",1984,8
"Austrian",1985,8
"Austrian",1986,6
